Biz name	Address	Phone	Email	Website
12 Small Things	San Francisco, CA	(415) 829-8292	laurie@12smallthings.com	http://www.12smallthings.com
123 Ready Set Grow Academy	4106 Castle Canyon Cr Antioch, CA 94531	(925) 753-5765	123readysetgrow@gmail.com	http://www.123readysetgrowacademy.com
180 Eats	San Rafael, CA	(415) 858-0180	hello@180eats.com	http://www.180eats.com
2GORJIS Beauty	81 Gregory Lane, Suite 210 Pleasant Hill, CA 94523	(925) 689-8602	beautyforyou77@msn.com	http://www.2gorjisbeauty.com/
A Better Cookie	2811 Elmhurst Cir Fairfield, CA 94533	(707) 421-2937	abettercookie@yahoo.com	http://www.abettercookie.com
A Darling D'zign Clothing	San Francisco, CA	(415) 308-3438	darlene@adarlingdzign.biz	http://www.adarlingdzign.biz
A Diamond in the Ruff	5940 Hayes Street Oakland, CA 94621	(510) 541-2191	tracey@diamondintheruff.info	http://www.adiamondintheruff.info
A Purified Life	1120 Union St.  San Francisco, CA 94109	(520) 313-4437	giovannagarcia4@gmail.com	http://www.apurifiedlife.com
A Step A'Head Salon	22654 Main St Hayward, CA 94545	(510) 397-7681	stepaheadsalon@yahoo.com	http://www.yelp.com/biz/a-step-ahead-salon-hayward
A&A Photography	5112 Third Street San Francisco, CA 94124	(415) 294-5638	thehonorablecompany@yahoo.com	http://www.yelp.com/biz/a-and-a-photography-san...
A&G General Maintenance	916 Promenade Drive Pittsburg, CA 94565	(925) 586-6626	grispiceno@live.com	http://www.porch.com/pittsburg-ca/home-cleaners...
AA Garage Doors	1601 Broadway St Concord, CA 94520	(925) 686-8996	up2triumph@yahoo.com	http://www.aa-garagedoors.com
AA Pacific Builders	1056 Shafter Avenue San Francisco, CA 94124	(415) 368-2436		http://www.aapacificbuilders.com
About Her Films	682 W. Mac Arthur Blvd. Oakland, CA 94609	(530) 632-8444	melinda@aboutherfilms.com	http://www.aboutherfilms.com/
Absinthia's Bottled Spirits	4200 Park Blvd #513 Oakland, CA 94602	(510) 435-7051	info@absinthia.com	http://www.absinthiasbottledspirits.com
Abstract Elements	636 Lindaro St. San Rafael, CA 94901	(707) 217-3597	Miss_lady_abstract@yahoo.com	http://www.abstractelement.com
Abundant Love Childcare	927 Runnymede Street East Palo Alto, CA 94303	(650) 325-9293	clladd@sbcglobal.net	
Ace Architects	330 2nd Street #1 Oakland, CA 94607	(510) 452-0775	aces@aceland.com	http://www.aceland.com
Adams Smoked Meats & Catering	San Francisco, CA	(415) 666-5161	adamssmokedmeats@yahoo.com	http://www.adamssmokedmeats.com
Adrian Tiller Marriage & Family Therapist	2120 Market Street San Francisco, CA 94114	(415) 408-3741	adriantiller@gmail.com	http://www.transcendyourpast.com/offices
Adrienne E. Bachleda Wellness and Lifestyle Coaching	Menlo Park, CA			http://www.bachleda.wordpress.com
AE Plumbing	12 Las Villas Court San Francisco, CA 94124	(415) 933-5227	artleeemerson@gmail.com	
Afikomen Judaica	1140 A  Hearst Avenue Berkeley, CA 94702	(510) 548-1471	nell.afikomen@gmail.com	http://www.afikomen.com
After Hours Dog Grooming	3414 Park Boulevard Oakland, CA 94606	(510) 978-2768	lady500sec@gmail.com	http://www.familygrooming.wix.com/after-hours
Aimee Golant Metal Art and Judaica Jewerlry	3931 Alemany Boulevard #2003-136 San Francisco, CA 94132	(415) 682-7128	info@aimeegolant.com	http://www.aimeegolant.com
AJ&J Bookkeeping and Taxes	1115 Third Street San Rafael, CA 94901	(415) 342-2454	j_m212002@yahoo.com	
AJ's BBQ Sauce	3107 Ursus Court Antioch, CA 94531	(925) 565-2910	ajs04.bbq@att.net	http://www.ajsbbqsauce.com
